step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
535,9175,2024-04-06 13:45:00,0.0,12.251649567353878,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.252487658118028,25.153118403450442,16.0,15.999996802540622,2063.3318057170295,6827.601664238412,9922.539355332987,9922.539355332989,0.0,9922.539355332987,71.93841032616416,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
536,9176,2024-04-06 14:00:00,0.0,12.25220829993718,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.253046353906967,25.153119024223155,16.15,16.023983182962223,2063.5590874801164,6827.633390175404,9920.402028722003,9920.402028722003,2866.32,7054.082028722003,146.37220209598158,0.083,0.0,no_mpc,0.083,2866.32,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
537,9177,2024-04-06 14:15:00,0.0,12.252767008030947,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.253605025652394,25.1531222381835,16.3,16.04628061471766,2063.790509713295,6827.67051617832,9919.823082664929,9919.823082664929,0.0,9919.823082664929,71.91871734932074,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
538,9178,2024-04-06 14:30:00,0.0,12.253325691804092,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.254163673472114,25.153125235615793,16.450000000000003,16.066888402549864,2064.007623948949,6827.708782203605,9919.350647647518,9919.350647647518,0.0,9919.350647647518,71.91529219544451,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
539,9179,2024-04-06 14:45:00,0.0,12.253884351578382,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.2547222973543,25.1531274748374,16.6,16.08576732224571,2064.209214361828,6827.746898257147,9918.933561422242,9918.933561422244,0.0,9918.933561422242,71.91226832031126,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
540,9180,2024-04-06 15:00:00,0.0,12.254442987445458,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.25528089726706,25.153125301673946,16.700000000000003,16.158393759206994,2064.9222780333444,6827.777245853598,9913.725882317985,9913.725882317984,2543.28,7370.445882317985,152.9367520580982,0.083,0.0,no_mpc,0.083,2543.28,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
541,9181,2024-04-06 15:15:00,0.0,12.25500159932863,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.255839473021162,25.153301474976338,16.8,16.230855009937432,2065.692284637216,6827.805660778817,9911.680210378196,9911.680210378196,0.0,9911.680210378196,71.85968152524192,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
542,9182,2024-04-06 15:30:00,0.0,12.25556018716029,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.256398032343254,25.153699162938693,16.9,16.303163033316284,2066.502909677063,6827.898253438065,9909.82280752762,9909.82280752762,0.0,9909.82280752762,71.84621535457525,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
543,9183,2024-04-06 15:45:00,0.0,12.256118754704445,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.256956584821083,25.154148301052974,17.0,16.375307106932095,2067.3595602581563,6828.073630753418,9908.053051965584,9908.053051965584,0.0,9908.053051965584,71.83338462675049,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
544,9184,2024-04-06 16:00:00,0.0,12.256677310605381,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.257515132686075,25.154500039335556,16.75,16.286017847945974,2066.530905051344,6828.219312985138,9919.888899297097,9919.888899297097,1662.06,8257.828899297097,171.34994966041478,0.083,0.0,no_mpc,0.083,1662.06,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
