step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
1227,9867,2024-04-13 18:45:00,0.2272307180722279,10.788860272675025,-0.7631372273047871,0.45,0.0,0.0,1.0,1.0,0.0,-1914.476482876627,10.44463984937812,27.917645908176986,22.0,15.569554688058506,2602.144471371638,8840.033349467123,10679.3822530248,10679.3822530248,0.0,10679.3822530248,77.4255213344298,0.029,-0.7631372273047871
1228,9868,2024-04-13 19:00:00,0.26466345036698646,10.589343809543962,-0.762999740945097,0.45,0.0,0.0,1.0,1.0,0.0,-1776.2364364868827,10.172814208097394,27.89285635971991,21.25,14.986416584791554,2587.7436598118757,8682.266269794673,10769.251700027704,10769.251700027704,0.0,10769.251700027704,484.61632650124665,0.18,-0.762999740945097
1229,9869,2024-04-13 19:15:00,0.31763188452404073,10.307022055486863,-0.7630087316582986,0.45,0.0,0.0,1.0,1.0,0.0,-1648.0030092201691,9.920705851142884,27.881006477734346,20.5,14.401516961347747,2570.332065078383,8545.852536614151,10791.342283375012,10791.342283375012,0.0,10791.342283375012,78.23723155446883,0.029,-0.7630087316582986
1230,9870,2024-04-13 19:30:00,0.3667582024685235,10.04517878084277,-0.7630868072793039,0.45,0.0,0.0,1.0,1.0,0.0,-1529.0585830327718,9.686882479709261,27.874500412318103,19.75,13.814816108185958,2532.206750918854,8422.96612002904,10784.640450494635,10784.640450494635,0.0,10784.640450494635,78.1886432660861,0.029,-0.7630868072793039
1231,9871,2024-04-13 19:45:00,0.4123212688488813,9.802327637035463,-0.7631888690623853,0.45,0.0,0.0,1.0,1.0,0.0,-1418.7348462515688,9.470014664133501,27.87082539496399,19.0,13.226281415519427,2498.858914576982,8310.36572889651,10785.726748693369,10785.726748693369,0.0,10785.726748693369,78.19651892802693,0.029,-0.7631888690623853
1232,9872,2024-04-13 20:00:00,0.45458003739102776,9.577088400705822,1.0,0.45,0.0,1.0,1.0,0.0,6476.731038786595,-155.8274843298006,10.440450009999903,28.00836400097197,18.625,12.948332463288907,0.0,0.0,6920.671164068756,6920.671164068756,0.0,6920.671164068756,311.430202383094,0.18,1.0
1233,9873,2024-04-13 20:15:00,0.3780666509583384,9.984904750392056,-0.7629751120416672,0.45,0.0,1.0,1.0,0.0,6586.921809786144,-42.37706388836549,11.429070252598326,29.375423870250064,18.25,12.669458465421958,0.0,0.0,6922.158622347502,6922.1586223475015,0.0,6922.158622347502,50.185650012019394,0.029,-0.7629751120416672
1234,9874,2024-04-13 20:30:00,0.1379119520608657,11.264929295515586,-0.7630080961550646,0.45,0.0,0.0,1.0,1.0,0.0,-2024.1406180061088,11.119097643309138,29.066612269981487,17.875,12.389659339407388,2541.5243580595725,10135.8886390204,10862.944873721775,10862.944873721775,0.0,10862.944873721775,78.75635033448287,0.029,-0.7630080961550646
1235,9875,2024-04-13 20:45:00,0.13655919789138538,11.272139475238916,-0.7630668643948199,0.45,0.0,0.0,1.0,1.0,0.0,-2042.2835990925796,10.798370960098962,27.964008440421537,17.5,12.108942232492868,2541.5243580595725,9010.411311511509,10859.19454755936,10859.19454755936,0.0,10859.19454755936,78.72916046980536,0.029,-0.7630668643948199
1236,9876,2024-04-13 21:00:00,0.21570834604512934,10.85027451557946,-0.7636587759999436,0.45,0.0,0.0,1.0,1.0,0.0,-1943.0784306855812,10.500885627865767,27.895794965540393,17.125,11.981505978769338,2541.5243580595725,8866.399391008552,10847.539474636404,10847.539474636407,0.0,10847.539474636404,406.78273029886515,0.15,-0.7636587759999436
1237,9877,2024-04-13 21:15:00,0.2537031339583673,10.647762296001902,-0.7639524444505573,0.45,0.0,0.0,1.0,1.0,0.0,-1802.7674917602694,10.224978834233468,27.874072874847716,16.75,11.848049279007922,2541.5243580595725,8704.707999322953,10847.101119611476,10847.101119611476,0.0,10847.101119611476,78.6414831171832,0.029,-0.7639524444505573
1238,9878,2024-04-13 21:30:00,0.30746685781067873,10.361201647869082,-0.764094681109859,0.45,0.0,0.0,1.0,1.0,0.0,-1672.6129351142658,9.969085752070935,27.86670765434802,16.375,11.708709913361881,2541.5243580595725,8565.775553883957,10846.831479001428,10846.831479001428,0.0,10846.831479001428,78.63952822276036,0.029,-0.764094681109859
1239,9879,2024-04-13 21:45:00,0.35733071367006014,10.09542729613858,-0.7641759327357183,0.45,0.0,0.0,1.0,1.0,0.0,-1551.8830924569857,9.731753451919873,27.865089350875945,16.0,11.563618159322969,2538.159274745939,8441.065531264772,10843.38812508091,10843.38812508091,0.0,10843.38812508091,78.61456390683661,0.029,-0.7641759327357183
1240,9880,2024-04-13 22:00:00,0.403577661747444,9.848931062886123,1.0,0.45,0.0,1.0,1.0,0.0,6236.668615119485,-167.6440275562831,10.663629710003622,28.157508090839386,15.5,11.075403766893613,0.0,0.0,6920.633685803016,6920.633685803016,0.0,6920.633685803016,143.60314898041258,0.083,1.0
