monitor_csv,monitor_index,window_id,window_type,window_start_index,window_start_timestep,row_index,row_offset_from_window_start,timestep,in_core_window,reward,cost_term,energy_term,comfort_term,tes_pbrs_term,tes_teacher_term,tes_tou_alignment_term,tes_valve_penalty,tes_invalid_action_penalty,tes_shaping_total,TES_SOC,tes_valve_target,raw_tes_action,TES_valve_wrapper_position,price_current_norm,price_hours_to_next_peak_norm,raw_tes_action_column,actual_valve_column
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,490,-7,491.0,False,-0.8533180227858866,-0.1403661512755049,-0.7129518715103818,0.0,,,,,,,0.253151,-0.1023268699645996,-0.1023268699645996,-0.10232687,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,491,-6,492.0,False,-0.8459950173442222,-0.1385975632745676,-0.7073974540696546,0.0,,,,,,,0.29125577,-0.120695948600769,-0.120695948600769,-0.12069595,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,492,-5,493.0,False,-0.6260386201059194,-0.1025892476007683,-0.523449372505151,0.0,,,,,,,0.3203083,0.152144193649292,0.152144193649292,0.12930405,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,493,-4,494.0,False,-0.625697655644826,-0.1028821480386,-0.522815507606226,0.0,,,,,,,0.31466344,0.0968997478485107,0.0968997478485107,0.09689975,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,494,-3,495.0,False,-0.6258183921929658,-0.1029215464428036,-0.5228968457501622,0.0,,,,,,,0.29161885,0.1539106369018554,0.1539106369018554,0.15391064,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,495,-2,496.0,False,-0.6259319708267446,-0.1029491514354307,-0.5229828193913137,0.0,,,,,,,0.28184733,0.0539861917495727,0.0539861917495727,0.05398619,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,496,-1,497.0,False,-0.6257607215215354,-0.1029279160457137,-0.5228328054758216,0.0,,,,,,,0.27402097,0.2410954236984253,0.2410954236984253,0.24109542,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,497,0,498.0,True,-0.8219735750348163,-0.1352077285309728,-0.6867658465038435,0.0,,,,,,,0.2699669,-0.3414920568466186,-0.3414920568466186,-0.008904576,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,498,1,499.0,True,-0.8429289688455894,-0.1380674741913808,-0.7048614946542086,0.0,,,,,,,0.26778212,-0.3108485341072082,-0.3108485341072082,-0.25890458,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,499,2,500.0,True,-0.8519470091784782,-0.1395193541862575,-0.7124276549922207,0.0,,,,,,,0.31202587,-0.0633521080017089,-0.0633521080017089,-0.06335211,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,500,3,501.0,True,-0.8499543454072584,-0.1392295982974832,-0.7107247471097752,0.0,,,,,,,0.34535888,-0.249035358428955,-0.249035358428955,-0.24903536,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,501,4,502.0,True,-0.8098116272122454,-0.1326729748284457,-0.6771386523837997,0.0,,,,,,,0.39252508,0.1257379055023193,0.1257379055023193,0.0009646416,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,502,5,503.0,True,-0.6241459438264938,-0.1022775722435426,-0.5218683715829512,0.0,,,,,,,0.41489834,0.0522222518920898,0.0522222518920898,0.052222252,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,503,6,504.0,True,-0.6237520968273751,-0.1025213793464103,-0.5212307174809647,0.0,,,,,,,0.37162963,0.4323126077651977,0.4323126077651977,0.30222225,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,504,7,505.0,True,-0.6243471841389221,-0.1026428555621065,-0.5217043285768156,0.0,,,,,,,0.3438544,0.2817418575286865,0.2817418575286865,0.28174186,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,505,8,506.0,True,-0.6242729908252584,-0.1026403097948983,-0.5216326810303601,0.0,,,,,,,0.33315626,0.2027037143707275,0.2027037143707275,0.20270371,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,25,-8,26.0,False,-0.6477065708044816,-0.1015670060563152,-0.5183457308267684,0.0,,,,,,,0.8611394,0.8348057270050049,0.8348057270050049,0.8348057,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,26,-7,27.0,False,-0.6477628436018051,-0.1015585190901552,-0.5183028718467017,0.0,,,,,,,0.8611754,0.6586639881134033,0.6586639881134033,0.658664,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,27,-6,28.0,False,-0.6475275178285042,-0.1015520490923924,-0.5182699224057292,0.0,,,,,,,0.8611099,0.8099534511566162,0.8099534511566162,0.80995345,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,28,-5,29.0,False,-0.6473678959871291,-0.1015537663429172,-0.5182786164547377,0.0,,,,,,,0.86105293,0.662696123123169,0.662696123123169,0.6626961,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,29,-4,30.0,False,-0.6472624011981203,-0.1015568886753826,-0.5182943999013776,0.0,,,,,,,0.8610112,0.758431077003479,0.758431077003479,0.7584311,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,30,-3,31.0,False,-0.6473603799068007,-0.101559062588801,-0.5183054922279948,0.0,,,,,,,0.86103964,0.6983456611633301,0.6983456611633301,0.69834566,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,31,-2,32.0,False,-0.6476723016628163,-0.1015613016312645,-0.5183171619441791,0.0,,,,,,,0.8611394,0.7456145286560059,0.7456145286560059,0.7456145,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,32,-1,33.0,False,-1.0997732454765663,-0.5533560577437237,-0.5183381654997288,0.0,,,,,,,0.86123466,0.7186174392700195,0.7186174392700195,0.71861744,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,33,0,34.0,True,-1.1001039807137274,-0.553384097714395,-0.5183647563004625,0.0,,,,,,,0.86132663,0.2344065904617309,0.2344065904617309,0.46861744,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,34,1,35.0,True,-1.100583805292773,-0.553405514394774,-0.5183852503155849,0.0,,,,,,,0.86147195,0.6468148231506348,0.6468148231506348,0.6468148,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_high_price_discharge_1,peak_price_discharge,33,34.0,35,2,36.0,True,-1.1010515121986515,-0.5534330058833429,-0.5184114352933015,0.0,,,,,,,0.8616088,0.4152669906616211,0.4152669906616211,0.415267,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
