step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
40,182,2024-01-02 21:30:00,1.0,6.389784297822296,-0.0,0.0,0.0,1.0,0.0,0.0,6.39096363408834,24.5850174342664,3.8999999999999995,-0.4356461851689672,0.0,0.0,7108.671635425917,7108.671635425916,0.0,7108.671635425917,51.5378693568379,0.029,-0.0
41,183,2024-01-02 21:45:00,1.0,6.390570532717265,-0.0,0.0,0.0,1.0,0.0,0.0,6.391749793001971,24.584712371685324,3.8,-0.37109567904044993,0.0,0.0,7112.50481704315,7112.50481704315,0.0,7112.50481704315,51.56565992356284,0.029,-0.0
42,184,2024-01-02 22:00:00,1.0,6.391356716355773,-0.0,0.0,0.0,1.0,0.0,0.0,6.392535904995203,24.584447610897183,3.6499999999999995,-0.2820878603590211,0.0,0.0,7118.038074569027,7118.038074569027,0.0,7118.038074569027,147.69929004730733,0.083,-0.0
43,185,2024-01-02 22:15:00,1.0,6.392142851845151,-0.0,0.0,0.0,1.0,0.0,0.0,6.393321971811453,24.584217867503032,3.5,0.04744201561355238,0.0,0.0,7141.322499452689,7141.322499452688,0.0,7141.322499452689,51.774588121032,0.029,-0.0
44,186,2024-01-02 22:30:00,1.0,6.392928941250189,-0.0,0.0,0.0,1.0,0.0,0.0,6.394107994965726,24.584020735358664,3.3500000000000005,0.11605082698422882,0.0,0.0,7146.789784072635,7146.789784072634,0.0,7146.789784072635,51.814225934526604,0.029,-0.0
45,187,2024-01-02 22:45:00,1.0,6.393714986211966,-0.0,0.0,0.0,1.0,0.0,0.0,6.394893975868992,24.583847231429363,3.2,0.1807632711273731,0.0,0.0,7152.166262028352,7152.166262028352,0.0,7152.166262028352,51.85320539970556,0.029,-0.0
46,188,2024-01-02 23:00:00,1.0,6.394500988250497,-0.0,0.0,0.0,1.0,0.0,0.0,6.395679915544008,24.58370010848211,3.1250000000000004,0.07099461191425917,0.0,0.0,7143.155664642266,7143.155664642267,0.0,7143.155664642266,148.22048004132702,0.083,-0.0
47,189,2024-01-02 23:15:00,1.0,6.39528694854551,-0.0,0.0,0.0,1.0,0.0,0.0,6.396465815132434,24.583571458662203,3.05,-0.25395460495370475,0.0,0.0,7119.8193418845885,7119.819341884588,0.0,7119.8193418845885,51.61869022866327,0.029,-0.0
48,190,2024-01-02 23:30:00,1.0,6.396072868186147,-0.0,0.0,0.0,1.0,0.0,0.0,6.397251675434184,24.583455862669357,2.9749999999999996,-0.3602624427160445,0.0,0.0,7113.124480196617,7113.124480196617,0.0,7113.124480196617,51.570152481425474,0.029,-0.0
49,191,2024-01-02 23:45:00,1.0,6.396858748104229,-0.0,0.0,0.0,1.0,0.0,0.0,6.398037497014979,24.58334924384105,2.9,-0.4661639167962876,0.0,0.0,7106.854056917361,7106.854056917361,0.0,7106.854056917361,51.52469191265087,0.029,-0.0
50,192,2024-01-03 00:00:00,1.0,6.397644589034735,-0.0,0.0,0.0,1.0,0.0,0.0,6.398823280264352,24.583230208354877,2.675,-0.65475764667674,0.0,0.0,7096.587592118668,7096.587592118667,0.0,7096.587592118668,51.45026004286034,0.029,-0.0
51,193,2024-01-03 00:15:00,1.0,6.398430391459149,-0.0,0.0,0.0,1.0,0.0,0.0,6.3996090246474076,24.58310455427348,2.45,-0.8435853401994047,0.0,0.0,7087.33575426647,7087.335754266468,0.0,7087.33575426647,51.38318421843191,0.029,-0.0
52,194,2024-01-03 00:30:00,1.0,6.39921615530741,-0.0,0.0,0.0,1.0,0.0,0.0,6.400394729879807,24.58297283341775,2.225,-1.0326459548170825,0.0,0.0,7078.970581772941,7078.97058177294,0.0,7078.970581772941,51.32253671785382,0.029,-0.0
53,195,2024-01-03 00:45:00,1.0,6.400001880072836,-0.0,0.0,0.0,1.0,0.0,0.0,6.401180395701058,24.582834442108286,2.0,-1.2219402789647673,0.0,0.0,7071.389442393837,7071.389442393836,0.0,7071.389442393837,51.267573457355326,0.029,-0.0
54,196,2024-01-03 01:00:00,1.0,6.400787565621233,-0.0,0.0,0.0,1.0,0.0,0.0,6.401966021824602,24.58272299138231,2.025,-1.0484006388605904,0.0,0.0,7078.304467879376,7078.304467879376,0.0,7078.304467879376,51.31770739212548,0.029,-0.0
55,197,2024-01-03 01:15:00,1.0,6.401573211583873,-0.0,0.0,0.0,1.0,0.0,0.0,6.402751609416217,24.582629681147115,2.05,-0.8753137644966409,0.0,0.0,7085.860290085548,7085.860290085548,0.0,7085.860290085548,51.37248710312022,0.029,-0.0
56,198,2024-01-03 01:30:00,1.0,6.402358818445139,-0.0,0.0,0.0,1.0,0.0,0.0,6.403537159261379,24.582554351248138,2.075,-0.7026811473822282,0.0,0.0,7094.131732053987,7094.1317320539865,0.0,7094.131732053987,51.43245505739141,0.029,-0.0
57,199,2024-01-03 01:45:00,1.0,6.403144387188577,-0.0,0.0,0.0,1.0,0.0,0.0,6.404322672138619,24.582499373369576,2.1,-0.5305070033018727,0.0,0.0,7103.204210461092,7103.204210461092,0.0,7103.204210461092,51.49823052584292,0.029,-0.0
58,200,2024-01-03 02:00:00,1.0,6.4039299185081004,-0.0,0.0,0.0,1.0,0.0,0.0,6.405108148928907,24.582461475942683,2.125,-0.7739034957602298,0.0,0.0,7090.621493441468,7090.621493441469,0.0,7090.621493441468,51.40700582745065,0.029,-0.0
59,201,2024-01-03 02:15:00,1.0,6.404715413378878,-0.0,0.0,0.0,1.0,0.0,0.0,6.405893590371814,24.582440970016073,2.1500000000000004,-1.019196606327188,0.0,0.0,7079.52527610594,7079.525276105938,0.0,7079.52527610594,51.32655825176807,0.029,-0.0
60,202,2024-01-03 02:30:00,1.0,6.405500872477042,-0.0,0.0,0.0,1.0,0.0,0.0,6.406678997220325,24.582436758019185,2.1750000000000003,-1.2663917220878866,0.0,0.0,7069.70522392057,7069.70522392057,0.0,7069.70522392057,51.25536287342413,0.029,-0.0
61,203,2024-01-03 02:45:00,1.0,6.406286296647296,-0.0,0.0,0.0,1.0,0.0,0.0,6.407464370179962,24.58244610511258,2.2,-1.515492125528417,0.0,0.0,7060.979748585377,7060.979748585376,0.0,7060.979748585377,51.192103177243986,0.029,-0.0
62,204,2024-01-03 03:00:00,1.0,6.407071686530613,-0.0,0.0,0.0,1.0,0.0,0.0,6.408249709838046,24.58245643242748,2.1500000000000004,-1.3551606473147824,0.0,0.0,7066.470478964337,7066.470478964337,0.0,7066.470478964337,51.23191097249145,0.029,-0.0
63,205,2024-01-03 03:15:00,1.0,6.407857042824897,-0.0,0.0,0.0,1.0,0.0,0.0,6.409035016238342,24.58246684144456,2.1,-1.1962581739235625,0.0,0.0,7072.365441687318,7072.365441687318,0.0,7072.365441687318,51.27464945223306,0.029,-0.0
64,206,2024-01-03 03:30:00,1.0,6.408642365849686,-0.0,0.0,0.0,1.0,0.0,0.0,6.409820289385788,24.582476046855724,2.05,-1.0387723733844938,0.0,0.0,7078.699800746233,7078.6998007462325,0.0,7078.699800746233,51.32057355541019,0.029,-0.0
65,207,2024-01-03 03:45:00,1.0,6.409427655629621,-0.0,0.0,0.0,1.0,0.0,0.0,6.410605529229784,24.58248353973605,2.0,-0.8826855317331079,0.0,0.0,7085.518360756847,7085.518360756848,0.0,7085.518360756847,51.370008115487146,0.029,-0.0
66,208,2024-01-03 04:00:00,1.0,6.410212912141902,-0.0,0.0,0.0,1.0,0.0,0.0,6.411390735699726,24.582498973469942,2.0,-0.8826855317331079,0.0,0.0,7085.5183293649225,7085.518329364924,0.0,7085.5183293649225,51.37000788789569,0.029,-0.0
67,209,2024-01-03 04:15:00,1.0,6.410998135277186,-0.0,0.0,0.0,1.0,0.0,0.0,6.412175909136181,24.582528443303545,2.0,-0.8826855317331079,0.0,0.0,7085.518524436774,7085.518524436774,0.0,7085.518524436774,51.370009302166615,0.029,-0.0
68,210,2024-01-03 04:30:00,1.0,6.411783325268486,-0.0,0.0,0.0,1.0,0.0,0.0,6.412961050149036,24.58257361458934,2.0,-0.8826855317331079,0.0,0.0,7085.5189080868995,7085.518908086899,0.0,7085.5189080868995,51.37001208363002,0.029,-0.0
69,211,2024-01-03 04:45:00,1.0,6.412568482448142,-0.0,0.0,0.0,1.0,0.0,0.0,6.4137461594181175,24.58263381441122,2.0,-0.8826855317331079,0.0,0.0,7085.519537748673,7085.5195377486725,0.0,7085.519537748673,51.37001664867788,0.029,-0.0
70,212,2024-01-03 05:00:00,1.0,6.413353607606933,-0.0,0.0,0.0,1.0,0.0,0.0,6.414531237594158,24.58272271040876,2.125,-0.9615362607497996,0.0,0.0,7082.005481914605,7082.005481914606,0.0,7082.005481914605,51.344539743880894,0.029,-0.0
71,213,2024-01-03 05:15:00,1.0,6.414138701321374,-0.0,0.0,0.0,1.0,0.0,0.0,6.415316285918433,24.582832036094292,2.25,-1.0429830863048437,0.0,0.0,7078.527675311407,7078.527675311407,0.0,7078.527675311407,51.3193256460077,0.029,-0.0
72,214,2024-01-03 05:30:00,1.0,6.41492376458857,-0.0,0.0,0.0,1.0,0.0,0.0,6.4161013052749745,24.582958142867927,2.375,-1.1270714198205523,0.0,0.0,7075.091725068117,7075.091725068116,0.0,7075.091725068117,51.29441500674385,0.029,-0.0
73,215,2024-01-03 05:45:00,1.0,6.415708798432922,-0.0,0.0,0.0,1.0,0.0,0.0,6.416886296390121,24.583101039185085,2.5,-1.2138477147805546,0.0,0.0,7071.697740628565,7071.697740628563,0.0,7071.697740628565,51.2698086195571,0.029,-0.0
74,216,2024-01-03 06:00:00,1.0,6.416493803665617,-0.0,0.0,0.0,1.0,0.0,0.0,6.417671259990545,24.58325884276871,2.7,-1.0272459471146345,0.0,0.0,7079.196742523739,7079.196742523739,0.0,7079.196742523739,51.32417638329711,0.029,-0.0
75,217,2024-01-03 06:15:00,1.0,6.417278781018081,-0.0,0.0,0.0,1.0,0.0,0.0,6.418456196721557,24.58341234826873,2.9,-0.8402652200784148,0.0,0.0,7087.489288981398,7087.489288981398,0.0,7087.489288981398,51.38429734511514,0.029,-0.0
76,218,2024-01-03 06:30:00,1.0,6.418063731181258,-0.0,0.0,0.0,1.0,0.0,0.0,6.419241106398573,24.583557463935964,3.0999999999999996,-0.652905884175477,0.0,0.0,7096.682738139901,7096.682738139901,0.0,7096.682738139901,51.45094985151428,0.029,-0.0
77,219,2024-01-03 06:45:00,1.0,6.41884865438987,-0.0,0.0,0.0,1.0,0.0,0.0,6.4200259886602105,24.58369385096358,3.3,-0.46515936669491625,0.0,0.0,7106.912442706018,7106.912442706018,0.0,7106.912442706018,51.52511520961863,0.029,-0.0
78,220,2024-01-03 07:00:00,1.0,6.419633550369688,-0.0,0.0,0.0,1.0,0.0,0.0,6.420810843130724,24.583786446325803,3.2249999999999996,-0.3431522817825505,0.0,0.0,7114.174847292337,7114.1748472923355,0.0,7114.174847292337,51.577767642869446,0.029,-0.0
