step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
8001,8001,2024-03-25 08:15:00,0.6659443832130004,8.450516437474707,0.929032098597712,1.0,0.0,1.0,42.626189427005585,0.0,8.464580987433262,25.381472843073073,3.8499999999999996,2.609345930236978,988.3524705430445,3286.9284661721463,9237.042200676968,9237.042200676966,0.0,9237.042200676968,66.96855595490801,0.029,0.929032098597712
8002,8002,2024-03-25 08:30:00,0.6639832934272382,8.46096904603282,0.8374686630700395,1.0,0.0,1.0,-3.2098833692563744,0.0,8.46482030920096,25.383315180027548,3.9749999999999996,2.333243506720195,893.809612045132,2972.5106626740367,9142.517555019782,9142.517555019782,0.0,9142.517555019782,66.28325227389342,0.029,0.8374686630700395
8003,8003,2024-03-25 08:45:00,0.663283043479908,8.46470137825209,0.7390670318010785,1.0,0.0,1.0,-50.118240350703864,0.0,8.457866559519587,25.38434541914916,4.1,2.0494534297927958,793.4318451503937,2638.687912986542,9042.150797092221,9042.150797092221,0.0,9042.150797092221,65.55559327891861,0.029,0.7390670318010785
8004,8004,2024-03-25 09:00:00,0.6639170308969521,8.461322225319245,0.7182150847078729,1.0,0.0,1.0,-55.753083281184466,0.0,8.450049102970159,25.38476568878779,4.375,2.136049093506639,777.8712607660661,2586.9386339717207,9026.592746703209,9026.592746703207,1879.26,7147.332746703209,268.0249780013703,0.15,0.7182150847078729
8005,8005,2024-03-25 09:15:00,0.665303191765175,8.453933987891617,0.7290814228060716,1.0,0.0,1.0,-46.9954467420311,0.0,8.44357495392636,25.384975397180593,4.65,2.2172502806271837,792.7146790935326,2636.3028594782795,9041.432585790715,9041.432585790715,0.0,9041.432585790715,65.55038624698268,0.029,0.7290814228060716
8006,8006,2024-03-25 09:30:00,0.6666430990228577,8.446792282208168,0.7504929221091372,1.0,0.0,1.0,-34.55438616547158,0.0,8.439008863185824,25.385225041862565,4.925000000000001,2.292931126507079,816.1231229001952,2714.151483921576,9064.83562948399,9064.83562948399,0.0,9064.83562948399,65.72005831375894,0.029,0.7504929221091372
8007,8007,2024-03-25 09:45:00,0.6676776769375856,8.441277981922669,0.7745582338429774,1.0,0.0,1.0,-21.871660235309854,0.0,8.436387796621982,25.385611042539384,5.2,2.3629568327602737,841.0053884369066,2796.9015445862033,9089.713326473966,9089.713326473966,0.0,9089.713326473966,65.90042161693626,0.029,0.7745582338429774
8008,8008,2024-03-25 10:00:00,0.6683507813096002,8.43769033561983,0.8804219855520741,1.0,0.0,1.0,31.525888607081885,0.0,8.441954998583412,25.38646158646922,5.9,2.802309829226823,954.0821580938749,3172.956913622783,9202.787421913898,9202.7874219139,2719.86,6482.927421913897,243.10977832177113,0.15,0.8804219855520741
8009,8009,2024-03-25 10:15:00,0.6680697227705747,8.439188377632837,1.0,1.0,0.0,1.0,97.1421617335567,0.0,8.457583819790234,25.388182215149865,6.6,3.2288447510474367,1097.4166602568912,3649.6393415883567,9346.12458263185,9346.124582631854,0.0,9346.12458263185,67.75940322408091,0.029,1.0
8010,8010,2024-03-25 10:30:00,0.6660755952565977,8.449817077282335,1.0,1.0,0.0,1.0,163.65736544532706,0.0,8.483411847188357,25.39100438261151,7.3,3.6421553622625025,1247.6937291164124,4149.410415338872,9496.413793445667,9496.413793445665,0.0,9496.413793445667,68.84900000248109,0.029,1.0
